ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0006913	nucleocytoplasmic transport	197/4813	328/18614	1.19E-39	3.62E+01	4.57E-37	TGFB1/NDC1/DDX19B/CDKN1B/RAB23/NF1/MDN1/PRKD1/FLNA/IPO9/NSUN2/RBM4/APPL1/TSC1/NUP88/RANBP1/XPOT/ELAVL1/PRKAG1/XPO1/STK4/NUP155/HSP90AA1/KPNA3/APPL2/IPO8/XPO7/SUPT6H/UBR5/NUP43/RPS15/RPL23/NUP35/ECT2/SEH1L/HDAC3/IWS1/TXNIP/RBM15B/NCBP2/AKAP8L/E2F3/HYAL2/PCID2/THOC5/IPO13/NUP210/FBXO22/NEMF/TXN/NOP9/ALKBH5/PIK3R2/PPP3R1/TNPO2/KHDRBS1/DDX19A/PPP1R10/PRKACA/THOC6/ZPR1/CHTOP/MAVS/AAAS/NEDD4/SDAD1/NUP133/SMG6/TRIM28/UBE2I/LSG1/EMD/SPG11/IPO11/AGFG1/PHB2/PTPN11/PML/ABCE1/SMAD3/SEC13/NPM1/SARNP/NUP205/KPNB1/DDX39A/NUTF2/RBM8A/NUP153/NOL6/MCM3AP/NUP50/DDX39B/POLR2D/RRS1/PHAX/CSE1L/PPM1A/IPO5/NUP98/SP100/TARDBP/BAG3/NUP54/TNPO3/NUP160/XPO4/CHP1/RANBP6/CALR/AKT1/NUP85/RIOK2/THOC2/PPP3CA/RANBP3/CAMK1/PPP1R12A/POLA2/CPSF6/NUP93/SSB/IPO7/THOC1/UPF1/XPO5/IPO4/NUP37/MAPK14/LMNA/PPP1CC/TNPO1/STK3/YTHDC1/CDK5/GSK3B/STAT3/PARK7/NCBP1/EIF4A3/NUP188/RANGRF/TPR/RANBP2/MED1/GAS6/NXF1/NUP214/PTPN14/RAN/KPNA4/HSPA9/ALYREF/AHCTF1/KPNA2/NUP62/EIF6/UPF2/RAE1/RANGAP1/NUP107/PABPN1/DHX9/CDK1/JUP/TSC2/HNRNPA2B1/NOLC1/ANP32A/AKAP13/SFN/SQSTM1/ANP32B/UFM1/POLDIP3/SMG1/SRSF3/THOC3/THOC7/NMD3/SUMO1/ENY2/LTV1/PTTG1IP/SNUPN/ANKRD54/KPNA1/SUFU/RBM22/YWHAE/PKIA/EIF4ENIF1/ZC3H11A/CDKN1A/XPO6/PRKCD/RSRC1	197
BP	GO:0051169	nuclear transport	197/4813	328/18614	1.19E-39	3.62E+01	4.57E-37	TGFB1/NDC1/DDX19B/CDKN1B/RAB23/NF1/MDN1/PRKD1/FLNA/IPO9/NSUN2/RBM4/APPL1/TSC1/NUP88/RANBP1/XPOT/ELAVL1/PRKAG1/XPO1/STK4/NUP155/HSP90AA1/KPNA3/APPL2/IPO8/XPO7/SUPT6H/UBR5/NUP43/RPS15/RPL23/NUP35/ECT2/SEH1L/HDAC3/IWS1/TXNIP/RBM15B/NCBP2/AKAP8L/E2F3/HYAL2/PCID2/THOC5/IPO13/NUP210/FBXO22/NEMF/TXN/NOP9/ALKBH5/PIK3R2/PPP3R1/TNPO2/KHDRBS1/DDX19A/PPP1R10/PRKACA/THOC6/ZPR1/CHTOP/MAVS/AAAS/NEDD4/SDAD1/NUP133/SMG6/TRIM28/UBE2I/LSG1/EMD/SPG11/IPO11/AGFG1/PHB2/PTPN11/PML/ABCE1/SMAD3/SEC13/NPM1/SARNP/NUP205/KPNB1/DDX39A/NUTF2/RBM8A/NUP153/NOL6/MCM3AP/NUP50/DDX39B/POLR2D/RRS1/PHAX/CSE1L/PPM1A/IPO5/NUP98/SP100/TARDBP/BAG3/NUP54/TNPO3/NUP160/XPO4/CHP1/RANBP6/CALR/AKT1/NUP85/RIOK2/THOC2/PPP3CA/RANBP3/CAMK1/PPP1R12A/POLA2/CPSF6/NUP93/SSB/IPO7/THOC1/UPF1/XPO5/IPO4/NUP37/MAPK14/LMNA/PPP1CC/TNPO1/STK3/YTHDC1/CDK5/GSK3B/STAT3/PARK7/NCBP1/EIF4A3/NUP188/RANGRF/TPR/RANBP2/MED1/GAS6/NXF1/NUP214/PTPN14/RAN/KPNA4/HSPA9/ALYREF/AHCTF1/KPNA2/NUP62/EIF6/UPF2/RAE1/RANGAP1/NUP107/PABPN1/DHX9/CDK1/JUP/TSC2/HNRNPA2B1/NOLC1/ANP32A/AKAP13/SFN/SQSTM1/ANP32B/UFM1/POLDIP3/SMG1/SRSF3/THOC3/THOC7/NMD3/SUMO1/ENY2/LTV1/PTTG1IP/SNUPN/ANKRD54/KPNA1/SUFU/RBM22/YWHAE/PKIA/EIF4ENIF1/ZC3H11A/CDKN1A/XPO6/PRKCD/RSRC1	197
BP	GO:0000375	RNA splicing, via transesterification reactions	194/4813	329/18614	1.83E-37	3.41E+01	6.46E-35	PRPF18/C9orf78/PRMT7/DDX41/C1QBP/BCAS2/LSM4/CWF19L1/PHF5A/RBM4/PPIE/PRPF4/FXR2/RBM15/SRSF1/RBM14/SAP18/PRPF39/DDX5/DHX38/SNRPB2/JMJD6/CIRBP/SRSF5/USP4/PPIL3/LUC7L2/SNW1/TRA2A/SF1/KHDRBS3/RBM15B/NCBP2/COIL/TSSC4/CDK13/CWC22/ZBTB7A/PPWD1/RBM4B/MFAP1/CRNKL1/LSM1/HTATSF1/CLNS1A/DDX23/SNRPE/SRSF4/NOL3/LSM3/PPIL1/PRPF3/KHDRBS1/HNRNPF/MPHOSPH10/SRRM1/CWC27/RNPS1/PAXBP1/SNRPC/LSM2/RALY/SNRPA1/PQBP1/PLRG1/RBM42/SRPK1/PPIH/SNRPD3/WBP4/SNRPD1/PRPF40A/SNRPA/RBM10/LARP7/SNRNP70/PRPF38A/DDX39A/HNRNPH3/SF3B2/RBM8A/SF3B4/DHX16/SF3B6/GPKOW/DDX39B/PNN/RBM39/PSIP1/METTL14/DAZAP1/CD2BP2/NUP98/SYNCRIP/SF3A2/PRDX6/SON/SNRNP200/SF3B3/GEMIN5/CDC5L/SF3A1/HSPA8/PRPF6/PRPF8/THRAP3/ISY1/DDX17/SRRM2/SFPQ/HNRNPM/HNRNPK/PRMT5/PRPF4B/DDX1/LUC7L/CTNNBL1/FRG1/PUF60/YTHDC1/UBL5/FXR1/SF3B1/HNRNPL/CWC15/NCBP1/DCPS/BUD31/GEMIN4/EIF4A3/RBM3/HNRNPR/PTBP1/U2AF2/RBM7/WDR77/DDX46/SNRNP40/STRAP/EFTUD2/IK/SRSF7/SF3B5/SRSF2/SNRPD2/RBM25/SMU1/PRPF31/QKI/HNRNPA3/METTL3/ALYREF/HNRNPH1/SART1/HNRNPA0/DDX20/FMR1/HNRNPU/SF3A3/RBM17/DHX9/TRA2B/AQR/HNRNPA2B1/LUC7L3/KHSRP/NCL/LSM8/KDM1A/TIA1/SNRPF/SNIP1/SMNDC1/SRSF9/SRSF3/PRPF19/LSM6/SART3/USP39/SRSF6/AAR2/CELF1/TFIP11/TXNL4A/DBR1/ZCCHC8/XAB2/SRPK2/CACTIN/RBM22/SDE2/RBM19/WTAP/RSRC1	194
BP	GO:0006403	RNA localization	136/4813	197/18614	3.51E-37	3.38E+01	1.15E-34	ZFP36L1/NDC1/DDX19B/FLOT1/CCT4/FBL/NSUN2/TSC1/NUP88/XPOT/DKC1/XPO1/SRSF1/NUP155/NHP2/SUPT6H/IGF2BP1/CETN2/CCT3/PNPT1/CKAP5/NUP43/IGF2BP3/NUP35/FUBP3/SEH1L/IWS1/HSF1/RBM15B/NCBP2/AKAP8L/EIF5A2/PCID2/NAF1/THOC5/NUP210/ALKBH5/IGF2BP2/MEX3D/KHDRBS1/DDX19A/PEG10/THOC6/CHTOP/MVP/CCT5/AAAS/EXOSC10/NUP133/SMG6/CCT7/AGFG1/TCP1/RUVBL2/DHX36/SEC13/RUVBL1/NPM1/SARNP/HNRNPAB/NUP205/KPNB1/NOP10/CCT8/DDX39A/NUTF2/RBM8A/PARN/NUP153/NOL6/MCM3AP/NUP50/DDX39B/POLR2D/CCT2/PHAX/ATM/NUP98/NUP54/NUP160/NUP85/PRPF6/CCT6A/LRPPRC/THOC2/CPSF6/NUP93/SSB/THOC1/G3BP2/UPF1/XPO5/NUP37/YTHDC1/NCBP1/EIF4A3/PIH1D1/NUP188/ATXN2/TPR/RANBP2/SRSF7/NOP58/NXF1/BICD2/NUP214/QKI/HNRNPA3/RAN/ALYREF/AHCTF1/TST/NUP62/YBX1/UPF2/RAE1/FMR1/NUP107/HNRNPU/PABPN1/DHX9/HNRNPA2B1/RFTN1/KHSRP/POLDIP3/SMG1/SRSF3/THOC3/THOC7/ENY2/ATR/WRAP53/SNUPN/UPF3B/ZC3H11A/BICD1	136
BP	GO:0006457	protein folding	146/4813	220/18614	9.68E-37	3.34E+01	2.97E-34	LYRM7/TOR1A/BAG4/PPIL2/CDC37L1/PEX19/CCT4/DNAJB2/DNAJB11/PPID/SACS/BAG2/UNC45A/PPIE/GRPEL1/DNAJA2/CRYAB/HYPK/HSPA14/PRDX4/HSP90AA1/PFDN5/AHSA1/NGLY1/PFDN1/HSPA2/GAK/CCT3/PPIL3/CLPX/APLF/CHCHD4/SIL1/WIPF1/QSOX1/FKBP1A/PEX5/PPIL1/AIP/DNAJB4/MOGS/RP2/ERP44/PPIG/FKBP10/CWC27/DNAJC10/PFDN2/CCT5/HSPB1/VBP1/CCT7/HSPBP1/MPDU1/SDF2L1/DNAJC7/TCP1/PTGES3/PPIH/RUVBL2/TTC1/FKBP8/HSPA4L/NUDC/HSP90AB2P/SNRNP70/HSP90AB1/CCT8/TRAP1/PDCD5/PPIA/CLGN/PPIB/CDC37/CCT2/ALG12/NFYC/CRTAP/CANX/FKBP11/BAG3/PDIA5/TBCC/PDIA6/CALR/FKBP9/HSPA8/CCT6A/HSPH1/DNAJA3/DNAJC5/HSP90B1/DNAJA1/HSPA4/UGGT1/PDCL3/HYOU1/FKBP4/WFS1/SDF2/P4HB/TBCD/HSPA5/PDIA4/DNAJB1/PDIA3/DNAJC3/TXNDC5/PFDN4/PFDN6/TBCA/LMAN1/DNAJB12/DNAJC2/CHORDC1/ANP32E/RANBP2/FKBP2/DFFA/ARL2/HSPD1/B2M/ERP29/NUDCD2/HSPA9/PPIF/CCDC47/TBCE/TOR1B/FKBP5/HSPE1/KHSRP/QSOX2/DNAJC1/TTC4/GRN/CCT6B/POFUT2/HSPA13/NKTR/LMAN2L/PDRG1/NUDCD3/PPIC/BAG5/DNAJC19	146
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	190/4813	325/18614	5.38E-36	3.27E+01	1.46E-33	PRPF18/C9orf78/PRMT7/DDX41/C1QBP/BCAS2/LSM4/CWF19L1/PHF5A/RBM4/PPIE/PRPF4/FXR2/RBM15/SRSF1/RBM14/SAP18/PRPF39/DDX5/DHX38/SNRPB2/JMJD6/CIRBP/SRSF5/USP4/PPIL3/LUC7L2/SNW1/TRA2A/SF1/KHDRBS3/RBM15B/NCBP2/COIL/TSSC4/CDK13/CWC22/ZBTB7A/PPWD1/RBM4B/MFAP1/CRNKL1/HTATSF1/CLNS1A/DDX23/SNRPE/SRSF4/NOL3/LSM3/PPIL1/PRPF3/KHDRBS1/HNRNPF/SRRM1/CWC27/RNPS1/PAXBP1/SNRPC/LSM2/RALY/SNRPA1/PQBP1/PLRG1/RBM42/SRPK1/PPIH/SNRPD3/WBP4/SNRPD1/PRPF40A/SNRPA/RBM10/LARP7/SNRNP70/PRPF38A/DDX39A/HNRNPH3/SF3B2/RBM8A/SF3B4/DHX16/SF3B6/GPKOW/DDX39B/PNN/RBM39/PSIP1/METTL14/DAZAP1/CD2BP2/NUP98/SYNCRIP/SF3A2/PRDX6/SON/SNRNP200/SF3B3/GEMIN5/CDC5L/SF3A1/HSPA8/PRPF6/PRPF8/THRAP3/ISY1/DDX17/SRRM2/SFPQ/HNRNPM/HNRNPK/PRMT5/PRPF4B/DDX1/LUC7L/CTNNBL1/FRG1/PUF60/YTHDC1/UBL5/FXR1/SF3B1/HNRNPL/CWC15/NCBP1/DCPS/BUD31/GEMIN4/EIF4A3/RBM3/HNRNPR/PTBP1/U2AF2/RBM7/WDR77/DDX46/SNRNP40/STRAP/EFTUD2/IK/SRSF7/SF3B5/SRSF2/SNRPD2/RBM25/SMU1/PRPF31/QKI/HNRNPA3/METTL3/ALYREF/HNRNPH1/SART1/HNRNPA0/DDX20/FMR1/HNRNPU/SF3A3/RBM17/DHX9/TRA2B/AQR/HNRNPA2B1/LUC7L3/NCL/LSM8/KDM1A/TIA1/SNRPF/SNIP1/SRSF9/SRSF3/PRPF19/LSM6/SART3/USP39/SRSF6/AAR2/CELF1/TFIP11/TXNL4A/DBR1/ZCCHC8/XAB2/SRPK2/CACTIN/RBM22/SDE2/RBM19/WTAP/RSRC1	190
BP	GO:0000398	mRNA splicing, via spliceosome	190/4813	325/18614	5.38E-36	3.27E+01	1.46E-33	PRPF18/C9orf78/PRMT7/DDX41/C1QBP/BCAS2/LSM4/CWF19L1/PHF5A/RBM4/PPIE/PRPF4/FXR2/RBM15/SRSF1/RBM14/SAP18/PRPF39/DDX5/DHX38/SNRPB2/JMJD6/CIRBP/SRSF5/USP4/PPIL3/LUC7L2/SNW1/TRA2A/SF1/KHDRBS3/RBM15B/NCBP2/COIL/TSSC4/CDK13/CWC22/ZBTB7A/PPWD1/RBM4B/MFAP1/CRNKL1/HTATSF1/CLNS1A/DDX23/SNRPE/SRSF4/NOL3/LSM3/PPIL1/PRPF3/KHDRBS1/HNRNPF/SRRM1/CWC27/RNPS1/PAXBP1/SNRPC/LSM2/RALY/SNRPA1/PQBP1/PLRG1/RBM42/SRPK1/PPIH/SNRPD3/WBP4/SNRPD1/PRPF40A/SNRPA/RBM10/LARP7/SNRNP70/PRPF38A/DDX39A/HNRNPH3/SF3B2/RBM8A/SF3B4/DHX16/SF3B6/GPKOW/DDX39B/PNN/RBM39/PSIP1/METTL14/DAZAP1/CD2BP2/NUP98/SYNCRIP/SF3A2/PRDX6/SON/SNRNP200/SF3B3/GEMIN5/CDC5L/SF3A1/HSPA8/PRPF6/PRPF8/THRAP3/ISY1/DDX17/SRRM2/SFPQ/HNRNPM/HNRNPK/PRMT5/PRPF4B/DDX1/LUC7L/CTNNBL1/FRG1/PUF60/YTHDC1/UBL5/FXR1/SF3B1/HNRNPL/CWC15/NCBP1/DCPS/BUD31/GEMIN4/EIF4A3/RBM3/HNRNPR/PTBP1/U2AF2/RBM7/WDR77/DDX46/SNRNP40/STRAP/EFTUD2/IK/SRSF7/SF3B5/SRSF2/SNRPD2/RBM25/SMU1/PRPF31/QKI/HNRNPA3/METTL3/ALYREF/HNRNPH1/SART1/HNRNPA0/DDX20/FMR1/HNRNPU/SF3A3/RBM17/DHX9/TRA2B/AQR/HNRNPA2B1/LUC7L3/NCL/LSM8/KDM1A/TIA1/SNRPF/SNIP1/SRSF9/SRSF3/PRPF19/LSM6/SART3/USP39/SRSF6/AAR2/CELF1/TFIP11/TXNL4A/DBR1/ZCCHC8/XAB2/SRPK2/CACTIN/RBM22/SDE2/RBM19/WTAP/RSRC1	190
BP	GO:0032543	mitochondrial translation	101/4813	132/18614	3.78E-34	3.09E+01	9.66E-32	MRPL41/C1QBP/MRPS35/MRPL19/MRPL54/MRPS16/MRPL21/MRPS11/MRPL1/MRPL43/EARS2/TRMT10C/GFM2/MRPL46/MRPL28/RARS2/MRPL47/MRPS25/MTG1/MRPL20/IARS2/MRPL4/MRPS18B/MRPL42/MRPL50/TSFM/MRPS18A/MRPL55/MRPS5/MRPS24/MRPS9/GATC/MRPL16/MRPS7/MRPL3/MRPL17/MRPS28/MRPL15/MRPL53/MRPL48/MRPL30/YARS2/MRPS6/DAP3/MRPS26/MRPL32/MRPL13/MRPL39/MRPS23/MRPL23/MRPL33/MRPS30/MRPS34/COA3/MRPS33/MRPL45/MRPS17/PTCD3/MRPL11/TACO1/LRPPRC/MRPL38/MRPS22/MRPS10/MRPL49/SHMT2/MRPL27/FASTKD2/MRPL2/MRPS12/MRPL24/MRPL14/MRPS2/CDK5RAP1/GFM1/MRPL37/TUFM/LARS2/DARS2/MRPL12/MRPL57/MRPL44/MRPS18C/MRPS27/SARS2/UQCC2/AARS2/MRPL35/MALSU1/NDUFA7/MRPL9/TARS2/MRPS31/MRPL40/MRPL22/GATB/MRPS14/MRPL10/GADD45GIP1/MRPS21/MRPL52	101
BP	GO:0000819	sister chromatid segregation	155/4813	250/18614	1.05E-33	3.05E+01	2.39E-31	SPDL1/CDC20/CDCA5/SMARCD1/ANAPC15/KIF14/KATNB1/CCNB1/KIF3B/CEP97/EML3/UBE2C/NCAPH2/BUB3/KIF11/KIF23/PRC1/FLNA/RAD21/ANAPC7/EML4/ARHGEF10/RACGAP1/TRIP13/NAA10/TPX2/RB1/ATRX/NAA50/MAPRE1/CHMP5/TTN/GTF2B/ZWILCH/SMARCD2/CDC16/BCCIP/NUF2/KIF4A/POGZ/SMC4/AURKB/SEH1L/ANAPC1/PBRM1/KLHL22/AKAP8L/BOD1/CLASP2/MAD1L1/DPF2/PCID2/RMDN1/CHMP6/TOP2B/ARID1B/CHMP7/HECW2/CHMP2B/ANAPC2/CLASP1/CDC23/DIS3L2/AAAS/NIPBL/CHMP4B/PSMG2/KNTC1/SMARCB1/ZNF207/VPS4B/SMARCD3/NCAPH/CHMP1A/ACTL6A/LCMT1/NUDC/ZW10/CHAMP1/KPNB1/DYNC1LI1/STAG1/RRS1/NCAPG/ATM/INCENP/PDS5A/SMARCE1/ARID1A/SMC3/RIOK2/POLDIP2/KIF2A/ARID2/CUL3/RHOA/GOLGA2/NCAPD2/BAZ1B/SPC24/CHMP4A/PPP2R1A/SPC25/AKAP8/BUB1B/VPS4A/TPR/IK/NUMA1/KIFC1/SMARCC2/RAN/NUP62/TOP2A/DRG1/SMC2/DCTN2/HNRNPU/PDS5B/SMC1A/SMARCC1/STAG2/DLGAP5/ANAPC5/TACC3/LSM14A/ACTB/CDC27/SMARCA5/NCAPD3/PLK1/SPAG5/NCAPG2/MAD2L1/NDC80/KIF2C/NSMCE2/SMARCA4/NUSAP1/KIF22/PHF10/BIRC5/BCL7C/DSN1/BECN1/CHMP2A/NSL1/CHMP3/SMARCA2/NEK6/CDCA8/CENPE/KNSTRN/CENPF/ZWINT	155
BP	GO:0033044	regulation of chromosome organization	155/4813	250/18614	1.05E-33	3.05E+01	2.39E-31	SPDL1/CDC20/CDCA5/CENPV/SMARCD1/ACTR5/ANAPC15/TEN1/MAP3K4/CCNB1/UBE2C/YLPM1/CCT4/CTCF/NCAPH2/MAPK3/BUB3/RAD21/SUB1/ANAPC7/TRIP13/NAA10/DKC1/RB1/SETDB1/ATRX/NAT10/TERF2IP/NSMCE1/ZWILCH/SMARCD2/CDC16/NUF2/ERCC4/CCT3/CDK2/SMC4/XRN1/AURKB/LIG4/ANAPC1/USP7/TRAPPC12/PBRM1/KLHL22/POT1/MAD1L1/MNAT1/MCRS1/DPF2/PCID2/NAF1/ARID1B/HECW2/PPP1R10/TERF2/NBN/ANAPC2/SMC6/SRC/CDC23/CCT5/EXOSC10/CTNNB1/SMG6/UCHL5/TRIM28/HNRNPD/CCT7/PSMG2/KNTC1/SMARCB1/TCP1/ZNF207/PML/RUVBL2/DHX36/SMARCD3/NCAPH/SIN3A/RUVBL1/ACTL6A/LCMT1/ZW10/CCT8/DYNC1LI1/PARN/CCT2/NCAPG/ATM/INCENP/SMARCE1/ARID1A/RIOK2/CCT6A/MAPK1/ARID2/SSBP1/CUL3/UPF1/PPHLN1/GNL3/MCM2/NCAPD2/BAZ1B/PNKP/SPC24/SPC25/BUB1B/XRCC5/TPR/IK/NUMA1/SMARCC2/RAD50/NEK7/FEN1/TOP2A/SMC2/HNRNPU/PARP1/MPHOSPH8/HNRNPA2B1/SMARCC1/XRCC1/DNMT1/SMG1/DLGAP5/ANAPC5/TACC3/ACTB/CDC27/SMARCA5/NCAPD3/PLK1/NCAPG2/MAD2L1/NDC80/ATR/NSMCE2/ERCC1/NSMCE4A/SMARCA4/ACTR8/PHF10/BIRC5/BCL7C/BECN1/SMARCA2/NEK6/NABP2/CDCA8/CENPE/CENPF/ZWINT	155
BP	GO:0016236	macroautophagy	185/4813	322/18614	1.09E-33	3.05E+01	2.39E-31	HIF1A/ZFYVE1/TGFB1/VDAC1/VHL/NRBP2/DDRGK1/RAB23/VMP1/MAPK3/CTSD/VPS25/ATG16L1/ATP6V0D2/MVB12A/EXOC8/ULK3/RAB5A/SNAPIN/RAB1B/RNF31/TSC1/ATP6V1C1/MFN2/TSG101/VPS41/PIK3C3/TMEM41B/UBQLN4/ATP6V0C/CHMP5/VPS28/SNX18/CLN3/STBD1/EXOC4/WAC/SNF8/GPSM1/TBC1D5/TIGAR/SPTLC2/SNX7/RIPK2/RAB43/PIP4K2A/ATP6V0A2/HDAC6/VPS33A/WIPI1/WIPI2/ATG13/QSOX1/PACS2/CHMP6/ATP6V1E1/CHMP7/SIRT1/PEX5/VPS26B/RNF213/CASP3/SEC22B/STAM2/CHMP2B/LAMP2/GAA/PRKACA/SPTLC1/RAB3GAP1/RAB1A/VPS16/BNIP3L/SRC/MAP3K7/VPS26A/CALCOCO2/STX12/NEDD4/RAB3GAP2/ATG9A/UBA5/RALB/TOM1/CAPN1/LARP1/PIK3R4/UBQLN2/CHMP4B/VCP/STAM/ATP6V0D1/SCFD1/SPG11/PHB2/PAFAH1B2/RHEB/HGS/ARFIP2/VPS4B/ATP6V1D/UFL1/SH3GLB1/CHMP1A/HSPB8/SNX4/EHMT2/ATP6V1A/MTOR/ATP2A2/PIP4K2C/EXOC7/CAPNS1/HMOX1/UCHL1/VPS35/CDC37/ATM/LGALS8/EXOC1/IKBKG/LRSAM1/BAG3/SNX6/ATP6V1B2/CALR/GAPDH/AKT1/UFC1/POLDIP2/SNX5/VTI1B/LRBA/UBXN6/VTA1/HUWE1/STK3/ATP6V1H/VPS37A/CDK5/ATG3/NSFL1C/CHMP4A/TBK1/SLC25A5/SLC25A4/UBQLN1/PLAA/ATG7/RAB7A/SNAP29/ATP6V1G1/VPS4A/PGAM5/AUP1/OPTN/ATG5/HTRA2/OGT/TEX264/SUPT5H/EPG5/NPC1/ATP6V0A1/TSC2/SQSTM1/FYCO1/UFM1/PIP4K2B/VPS39/VPS13C/GNAI3/HTT/VPS13D/VTI1A/ZFYVE26/SNX14/BNIP3/EMC6/BECN1/CHMP2A/CHMP3/WDR45/SCOC/ARL8B	185
BP	GO:0051656	establishment of organelle localization	233/4813	445/18614	1.59E-33	3.03E+01	3.32E-31	HIF1A/SPDL1/CCDC186/TOR1A/CDCA5/KIF1C/GPSM2/KIF14/PPP6C/CCNB1/DNM1/F8A1/KIF3B/EML3/MDN1/EXOC6B/SUN1/AP3M1/MYO19/EML4/EXOC8/TBC1D23/KIFAP3/COPS5/SNAPIN/AP3S1/NUP88/MYO1B/RHOT1/FAM83D/PAFAH1B1/XPO1/MYH9/CROCC/TSG101/TMEM201/MAPRE1/TRAPPC5/CHMP5/ACTR10/CLN3/ITGA4/YKT6/ITGB1/TUBA1A/EXOC4/NUF2/MYO1C/CFL1/TTL/TRAPPC3/AP3D1/DYNC1H1/PDCD6/SDC1/LYN/MLPH/STARD3/SNF8/RPS15/GPSM1/AURKB/MAP1S/SEH1L/TRAPPC12/SYNJ1/BOD1/HDAC6/CLASP2/MAD1L1/WIPI1/TRAPPC11/RMDN1/SDC4/PARD3/CHMP6/MAP2/TMED2/CHMP7/NOP9/TFG/TRAPPC8/FAM91A1/RAB3A/SAR1B/AP3M2/CHMP2B/MYO6/RAB1A/MYO5A/TMED9/CLASP1/TRIP11/GJA1/CDC23/BLOC1S4/SNCA/RAB6A/SDAD1/DNM1L/CTNNB1/EXOC3/ARFGAP3/PICALM/SUN2/CHMP4B/LSG1/STAM/EXOC2/SPG11/SNAP23/STXBP1/HGS/WASL/DYNLT1/ABCE1/PEF1/VPS4B/SDCBP/SAR1A/GBF1/SCRIB/RAB11B/AP3B1/CHMP1A/YWHAZ/DOCK7/NUDC/VAMP7/NPM1/SNX4/PDCD6IP/CBL/ZW10/CHAMP1/KPNB1/PEX14/S100A13/PDCD10/HOOK3/EXOC7/HMOX1/RAB27A/UCHL1/RRS1/COPG1/TMED10/ATM/EXOC1/IKBKG/INCENP/EXOC5/RIOK2/PCM1/MAP1B/LRPPRC/COPG2/FHOD1/CUL3/WDR11/LMNA/SEC16A/CDK5/NSFL1C/CHMP4A/LLGL1/MAP4/KIF5B/RABGEF1/MYO1E/LMNB1/RAB7A/SNAP29/VPS4A/DCTN1/NUMA1/ARFGAP2/KIFC1/OPA1/BICD2/DLG1/RAN/NUP62/ACTN4/EIF6/LMNB2/DNM2/PREB/DCTN2/HNRNPU/RHOT2/SYNE2/BLOC1S2/TRAPPC1/CDC42/FYCO1/TRAPPC4/LAMP1/EZR/NMD3/PLK1/SPAG5/LTV1/MAD2L1/NDC80/ARMCX3/KIF3A/KIF2C/HTT/MLH1/FMN2/TRAPPC13/HSBP1/NUSAP1/SPIRE1/KIF13A/KIF22/BIRC5/DYNC1I1/FER/SPAST/STARD3NL/TRAPPC10/BECN1/CHMP2A/CHMP3/BICD1/C17orf75/CDCA8/PIK3CD/CENPE/NDE1/CENPF	233
BP	GO:0071826	ribonucleoprotein complex subunit organization	149/4813	239/18614	7.76E-33	2.97E+01	1.55E-30	PRPF18/AGO3/TARBP2/ZFAND1/PRMT7/RPS28/MDN1/LSM4/PHF5A/EIF2S2/MRPS11/RPS27/SRSF1/DDX28/HSP90AA1/RPL5/EIF3L/BOP1/PRPF39/EIF3J/MRPL20/RPF2/SNRPB2/DICER1/SRSF5/USP4/EIF3I/LUC7L2/PWP2/RPS15/SF1/DENR/COIL/TSSC4/NAF1/CRNKL1/HTATSF1/CLNS1A/DDX23/SNRPE/NOL3/CDC73/PRPF3/RPL10/MRPS7/RPS27L/EIF3E/SNRPC/LSM2/EIF2D/MCTS1/VCP/SNRPA1/SRPK1/ADAR/PTGES3/EIF3M/SNRPD3/RUVBL2/SNRPD1/EIF3F/DHX30/RUVBL1/RPS5/BRIX1/AGO2/RPSA/EIF3K/RPS19/HSP90AB1/PPAN/SF3B2/RPL23A/SF3B4/SF3B6/DDX39B/POLR2D/RRS1/PSIP1/RPL11/ATM/CD2BP2/RPS14/SF3A2/EIF3D/RPL6/SNRNP200/SF3B3/GEMIN5/SF3A1/KLC1/PRPF6/PRPF8/ISY1/RPL13A/CPSF6/EIF3G/PRMT5/DDX1/DHX29/LUC7L/FASTKD2/RRP7A/CPSF7/PUF60/YTHDC1/EIF3A/SF3B1/NCBP1/KIF5B/GEMIN4/PIH1D1/WDR77/DDX46/XRCC5/EIF3B/EIF3H/STRAP/SF3B5/SNRPD2/NLE1/PRPF31/SART1/ERAL1/EIF6/PRKDC/DDX20/RPL38/SF3A3/DHX9/EIF5/LUC7L3/SNRPF/SNIP1/NUDT21/SRSF9/MRTO4/PRPF19/SART3/USP39/SRSF6/AAR2/NOP2/CELF1/ATR/TFIP11/TXNL4A/XAB2/SRPK2	149
